,label,text
0,1,"On the debate stage, Jeb Bush has committed the sin of over-explanation,
answering a pithy 1994 attack on his business career with so many details
about leases and debts that a baffled crowd erupted into boos."
1,1,"He has delivered high-minded put-downs, promising in a 1998 face-off to
establish a charter school “for people that distort the facts” and mischievously
guaranteeing admission to his opponent."
2,1,"And he has mangled seemingly simple sentences, vowing in a 2002
confrontation that “we can make Florida a bright — have a brighter future for
— for all Floridians.”
In a Republican presidential debate season dominated by glib
showmanship and volcanic personality, Mr. Bush, the former governor of
Florida, faces a daunting challenge: How can he excite primary voters during
Wednesday’s televised rumpus with a sober and cerebral style that can appear
tepid next to the insult-spraying, nuance-avoidant, made-for-TV manner of
Donald J. Trump?"
3,1,"Now, after failing to directly confront Mr. Trump, the current frontrunner,
during the first debate, Mr. Bush and his aides are under pressure to
create a memorable showdown with the real estate developer to match a newly
aggressive tone on the campaign trail."
4,1,"Since the first debate, Mr. Bush has mocked Mr. Trump’s immigration
plan as “unrealistic,” released a biting online ad that captures Mr. Trump
praising Hillary Rodham Clinton and accused Mr. Trump of trying to “insult
his way to the presidency.”
In rigorous practice sessions that have crisscrossed the country in the past
few weeks, Mr. Bush has been preparing pointed responses to Mr. Trump’s
most frequent insults (he has called Mr. Bush “low energy” and a slave to
donors) and crafting lines of attack on Mr. Trump’s history of liberal
statements and unconventional policy plans, according to those who have been
told of the plans."
5,1,"“He has to challenge Trump now,” said Mac Stipanovich, an adviser to Mr.
Bush during his 1994 campaign for governor who helped prepare him for
debates that year."
6,1,"“He has to stand toe to toe with him and call him out.”
The difficulty for Mr. Bush, who has portrayed himself as the most mature
and civil figure in the Republican presidential field, is how to inflict damage on
Mr. Trump in front of a live national audience without diminishing himself in
the process — a tricky task given Mr. Trump’s lust for the fierce counterpunch
and Mr. Bush’s disdain for memorizing sound bites."
7,1,“Jeb is a nice man.
8,1,He likes people.
9,1,"He wants people to like him,” said
Newt Gingrich, the former House speaker, who dominated several Republican
debates during the 2012 presidential campaign."
10,1,"“He is up against a barroom
brawler."
11,1,"And I think against barroom brawlers, if you are a nice man, you are
better off keeping your distance.”
Interviews with current and former advisers to Mr. Bush and reviews of
video footage from his debates as a candidate for governor reveal him to be a
debater with as many deficits as strengths."
12,1,"On stage, his mastery of policy is
almost unrivaled, but he struggles to synthesize it in compelling ways."
13,1,"He is
capable of telegraphing deep compassion in one moment, but can convey
unmistakable peevishness in the next."
14,1,"He defaults to analytical earnestness,
rarely offering flashes of humor."
15,1,"For better or worse, advisers acknowledge, his brand is self-seriousness."
16,1,"“His style,” said Sally Bradshaw, a top Bush campaign adviser, “is
substance.”
“His candidacy,” she added, “is not based on theatrics.”
Theatrics have failed Mr. Bush at times."
17,1,"During a dramatic 1994 exchange
in Tampa, he dared the sitting governor of Florida, Lawton Chiles, to look into
the eyes of Mr. Bush’s business partner, who sat a few feet away in the
audience, and repeat an attack on the two men’s ethics."
18,1,"“I know you don’t respect me, but I know you respect Armando Codina,”
Mr. Bush said."
19,1,"“Can you look him in the eye and say that we’ve done anything
wrong?”
Mr. Chiles, deploying his Southern drawl and a gift for outmaneuvering
opponents, looked toward Mr. Codina, smiled and reflected on the
businessman’s wisdom in hiring the son of an American president."
20,1,"“I think,” Mr. Chiles declared, “he made a good business decision when he
took you on as a partner.”
The audience broke into loud laughter."
21,1,"A few days later, Mr. Bush lost the
election."
22,1,"Mr. Bush has participated in about a dozen official debates since first
running for public office that year."
23,1,"The majority of those encounters have been
one on one with Democratic rivals, lacking the unpredictability of a crowded
stage, like Wednesday night’s forum."
